agent,attack_tag,n
chloe_ballast,HiddenOrca,3
chloe_ballast,MellowOtter,0
chloe_ballast,SwiftWren,13
daniel_gangway,HiddenOrca,1
daniel_gangway,MellowOtter,0
daniel_gangway,SwiftWren,11
david_breakwater,HiddenOrca,0
david_breakwater,MellowOtter,0
david_breakwater,SwiftWren,4
emma_harbor,HiddenOrca,0
emma_harbor,MellowOtter,0
emma_harbor,SwiftWren,1
evelyn_dock,HiddenOrca,3
evelyn_dock,MellowOtter,1
evelyn_dock,SwiftWren,17
gabriel_sonar,HiddenOrca,4
gabriel_sonar,MellowOtter,1
gabriel_sonar,SwiftWren,16
henry_sail,HiddenOrca,1
henry_sail,MellowOtter,0
henry_sail,SwiftWren,10
james_stern,HiddenOrca,3
james_stern,MellowOtter,0
james_stern,SwiftWren,7
john_windward,HiddenOrca,0
john_windward,MellowOtter,0
john_windward,SwiftWren,4
levi_signal,HiddenOrca,2
levi_signal,MellowOtter,1
levi_signal,SwiftWren,15
liam_anchor,HiddenOrca,2
liam_anchor,MellowOtter,0
liam_anchor,SwiftWren,11
lily_anchorline,HiddenOrca,2
lily_anchorline,MellowOtter,1
lily_anchorline,SwiftWren,9
mia_fender,HiddenOrca,2
mia_fender,MellowOtter,1
mia_fender,SwiftWren,12
michael_capstan,HiddenOrca,2
michael_capstan,MellowOtter,0
michael_capstan,SwiftWren,6
noah_mariner,HiddenOrca,0
noah_mariner,MellowOtter,1
noah_mariner,SwiftWren,0
olivia_keel,HiddenOrca,3
olivia_keel,MellowOtter,1
olivia_keel,SwiftWren,10
owen_hatch,HiddenOrca,3
owen_hatch,MellowOtter,1
owen_hatch,SwiftWren,13
victoria_rigging,HiddenOrca,4
victoria_rigging,MellowOtter,1
victoria_rigging,SwiftWren,13
zoey_drydock,HiddenOrca,4
zoey_drydock,MellowOtter,1
zoey_drydock,SwiftWren,14
