agent,betweenness,degree_in,degree_out,role
zoey_drydock,0.14583333333333334,9,11,Propagator
evelyn_dock,0.1400122549019608,9,9,Propagator
chloe_ballast,0.11568627450980391,8,9,Propagator
olivia_keel,0.10759803921568628,8,7,Propagator
liam_anchor,0.09699754901960785,7,9,Propagator
owen_hatch,0.08033088235294118,6,9,Propagator
daniel_gangway,0.06482843137254901,7,8,Propagator
levi_signal,0.06106004901960786,8,9,Propagator
gabriel_sonar,0.05949754901960785,10,8,Propagator
lily_anchorline,0.056954656862745104,7,7,Propagator
james_stern,0.03949142156862745,6,4,Propagator
victoria_rigging,0.030392156862745094,8,6,Propagator
henry_sail,0.021691176470588235,7,5,Propagator
michael_capstan,0.013602941176470587,4,4,Propagator
john_windward,0.0024509803921568627,4,3,Target
mia_fender,0.0024509803921568627,8,5,Propagator
david_breakwater,0.0014705882352941176,2,4,Propagator
emma_harbor,0,0,1,Origin
